sourceid rave_met rave_metcorr rave_meterr rave_teff rave_tefferr rave_logg rave_loggerr lamost_met lamost_meterr lamost_teff lamost_tefferr lamost_logg lamost_loggerr tgas_parallax tgas_parallaxerr
2076194097193848576 nan nan nan nan nan nan nan 0.192 0.131 5983.63 136.07 4.346 4.346 3.46671919267 0.311997607649
2127259505997243648 nan nan nan nan nan nan nan 0.216 0.132 6109.7 147.47 4.272 4.272 3.1150840372 0.303105819234
2077243134371325312 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.58679335968 0.347075743257
2073804411752924288 nan nan nan nan nan nan nan -0.036 0.116 6088.74 114.7 3.996 3.996 1.96465610347 0.276110578553
4912062768251996544 nan nan nan nan nan nan nan nan nan nan nan nan nan 6.41896532752 0.254986215293
6004107509483185280 nan nan nan nan nan nan nan nan nan nan nan nan nan 12.8104357589 0.263731471359
2105291950870889344 nan nan nan nan nan nan nan 0.164 0.096 6177.9 101.15 4.2 4.2 2.39112258882 0.2515963304
2052136748418405376 nan nan nan nan nan nan nan nan nan nan nan nan nan 1.91912552725 0.608489771001
2132178721020794752 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.10999690693 0.736575443146
2125713936247506688 nan nan nan nan nan nan nan 0.138 0.164 5431.2 141.39 4.742 4.742 5.68181211601 0.319235735548
6434759757085929984 nan nan nan nan nan nan nan nan nan nan nan nan nan 24.798080318 0.228460409637
2128242606830883584 nan nan nan nan nan nan nan -0.017 0.105 6103.93 101.72 4.257 4.257 2.13965989169 0.345711502328
2131184934308646784 nan nan nan nan nan nan nan nan nan nan nan nan nan 4.01081730052 0.290103387856
4330690909825212928 nan nan nan nan nan nan nan nan nan nan nan nan nan 232.285621238 0.487817090241
4330690909825212928 nan nan nan nan nan nan nan nan nan nan nan nan nan 232.285621238 0.487817090241
4330690909825212928 nan nan nan nan nan nan nan nan nan nan nan nan nan 232.285621238 0.487817090241
5560886332147922816 nan nan nan nan nan nan nan nan nan nan nan nan nan 4.08909651571 0.235141906192
5489780915179628416 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.70308888695 0.306923648548
2129464542207763840 nan nan nan nan nan nan nan -0.026 0.099 6161.5 95.29 4.357 4.357 2.42515795404 0.390598995029
2104727076771160576 nan nan nan nan nan nan nan -0.024 0.109 5989.99 98.71 4.448 4.448 3.53255037358 0.243510051336
2107342711852925056 nan nan nan nan nan nan nan 0.111 0.093 6100.39 92.57 3.927 3.927 1.9572954096 0.42451705886
2135314184585149696 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.677865343 0.400598913486
2078008703696509056 nan nan nan nan nan nan nan -0.128 0.127 6153.54 118.31 4.25 4.25 3.20063502279 0.263664829206
2099656472742686848 nan nan nan nan nan nan nan -0.45 0.169 5733.64 133.58 4.152 4.152 2.88200853365 0.25672663779
2133611659549905024 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.35320159061 0.404565667586
2073155184495069184 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.15642611452 0.484926845886
